squareMeters,floor,buildYear,poiCount,price_per_m2,clinicDistance_binned,kindergartenDistance_binned,collegeDistance_binned,pharmacyDistance_binned,centreDistance_binned,price_per_m2_log,hasParkingSpace_yes,hasBalcony_yes,hasElevator_no,hasElevator_yes,type_blockOfFlats,type_tenement,condition_premium,condition_standard
30.0,3.0,1960.0,19.0,18833.0,1,0,1,0,4,9.843365929194746,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
61.12,3.0,2019.0,15.0,18815.0,0,0,3,0,6,9.842409703027538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,11.0,2008.0,5.0,16283.0,1,0,3,0,4,9.697876897764221,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
45.92,1.0,2017.0,10.0,24172.0,0,0,2,1,2,10.09295021748145,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
47.27,7.0,2021.0,12.0,16395.0,2,0,3,0,9,9.704731689278749,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
28.46,1.0,1953.0,16.0,18623.0,0,1,0,0,2,9.832152654931505,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
52.25,3.0,1980.0,9.0,14718.0,0,0,3,0,6,9.596826513486544,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
50.02,1.0,1977.0,8.0,15794.0,1,0,4,0,4,9.667385400057526,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
38.42,2.0,1922.0,30.0,17048.0,0,0,0,0,3,9.743788173778453,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
36.45,3.0,2000.0,11.0,17997.0,0,1,0,0,4,9.797960356321203,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
54.5,6.0,1979.0,10.0,13927.0,1,0,4,0,8,9.541584681053092,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
69.81,3.0,2012.0,0.0,17000.0,6,3,7,4,8,9.740968623038354,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
100.0,2.0,1998.0,15.0,15922.0,0,0,1,0,5,9.675457079648524,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
52.4,4.0,2008.0,40.0,25000.0,0,0,0,0,2,10.126631103850338,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
28.0,3.0,2000.0,6.0,17854.0,3,0,5,0,9,9.789982851739307,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
62.2,3.0,2007.0,8.0,13987.0,1,1,3,0,3,9.545883605779304,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
52.0,1.0,2009.0,3.0,14423.0,3,0,5,1,9,9.576579433583511,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
36.21,2.0,2023.0,26.0,25399.0,0,0,0,0,1,10.142465082152865,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
40.81,10.0,1980.0,2.0,15658.0,2,0,6,1,9,9.65873724746786,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
89.0,3.0,2003.0,3.0,14944.0,4,0,2,0,7,9.612065160468624,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
61.0,1.0,2005.0,7.0,16557.0,3,2,3,1,6,9.71456425210761,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
53.1,1.0,2000.0,31.0,16906.0,0,1,1,0,2,9.735423867488873,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
40.95,2.0,2023.0,3.0,19829.0,1,1,4,1,4,9.894900791598806,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
64.4,4.0,2010.0,10.0,15450.0,1,0,7,0,7,9.645364282325891,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
35.53,3.0,1922.0,18.0,25399.0,0,0,1,0,1,10.142465082152865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
38.0,2.0,2000.0,21.0,23158.0,1,0,1,0,1,10.050095572172218,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
49.59,2.0,2015.0,5.0,15124.0,2,0,9,0,8,9.624038165010823,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
49.64,1.0,1960.0,20.0,15109.0,1,0,4,0,4,9.62304587173984,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
55.93,4.0,2010.0,6.0,15984.0,1,0,8,0,7,9.679343500888335,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
49.7,3.0,2014.0,0.0,15694.0,2,2,9,2,9,9.661033752687418,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
36.0,3.0,2000.0,20.0,13000.0,3,0,0,0,9,9.472704636443673,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
50.0,2.0,2018.0,21.0,13980.0,1,0,2,0,9,9.5453830157878,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
30.0,2.0,2000.0,4.0,18000.0,1,0,3,1,7,9.798127036878302,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
44.5,8.0,2018.0,21.0,16854.0,1,0,2,0,8,9.7323432963323,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
68.0,3.0,2001.0,9.0,12485.0,1,0,3,0,6,9.432283202713874,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
41.28,4.0,2000.0,5.0,14898.0,2,0,4,0,4,9.608982254736222,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
56.6,4.0,2000.0,19.0,11484.0,1,0,2,0,5,9.348710041240954,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
82.0,3.0,2003.0,18.0,10939.0,0,0,0,0,7,9.30008966411979,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
46.2,1.0,1965.0,45.0,25399.0,0,0,0,0,1,10.142465082152865,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
53.07,1.0,1960.0,9.0,13096.0,0,0,3,0,6,9.48006211905097,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
47.0,2.0,1955.0,39.0,17000.0,0,0,0,0,1,9.740968623038354,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
29.0,2.0,2000.0,34.0,18962.0,3,0,1,0,9,9.850192255477904,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
36.54,4.0,1965.0,1.0,13547.0,3,0,3,1,7,9.513920399580737,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
52.48,1.0,1930.0,4.0,18579.0,1,1,1,1,2,9.82978718960617,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
59.0,3.0,2019.0,6.0,11780.0,4,0,1,0,7,9.374158457205578,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
44.43,1.0,2000.0,15.0,14967.0,1,0,2,0,9,9.613603056529147,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
67.0,10.0,1980.0,21.0,12985.0,1,0,5,0,5,9.471550124096849,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
51.43,2.0,1920.0,45.0,16916.0,1,0,1,0,0,9.73601519859238,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
33.31,2.0,2023.0,23.0,19514.0,1,0,1,0,3,9.878887435667895,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
72.77,5.0,2017.0,4.0,15803.0,3,0,2,0,7,9.667955074409104,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
45.0,9.0,1970.0,25.0,13444.0,1,0,2,0,8,9.506288188844996,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
100.0,2.0,2019.0,32.0,25399.0,0,1,1,0,2,10.142465082152865,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
31.0,3.0,2012.0,13.0,15774.0,1,0,1,0,8,9.666118293957936,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
25.63,4.0,2019.0,17.0,25361.0,0,1,1,0,2,10.14096783995039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
45.0,3.0,2000.0,9.0,18111.0,1,0,5,0,6,9.804274767464536,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
35.0,10.0,2000.0,9.0,17143.0,0,0,1,0,6,9.749345206007481,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
53.3,2.0,2000.0,14.0,14071.0,1,0,2,0,5,9.551871220788255,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
